PRECINCT,D_votes,R_votes
COLUMBUS 35-D,384,32
COLUMBUS 36-A,235,218
COLUMBUS 36-B,339,217
COLUMBUS 36-C,597,153
COLUMBUS 36-D,176,178
COLUMBUS 36-E,282,146
COLUMBUS 37-A,166,70
COLUMBUS 37-B,161,47
COLUMBUS 37-C,219,118
COLUMBUS 37-D,197,181
COLUMBUS 37-E,280,326
COLUMBUS 38-A,261,113
COLUMBUS 38-B,169,38
COLUMBUS 38-C,216,109
COLUMBUS 39-A,138,35
COLUMBUS 39-B,559,84
COLUMBUS 39-C,221,58
COLUMBUS 39-D,320,59
COLUMBUS 40-A,490,94
COLUMBUS 40-B,604,99
COLUMBUS 40-C,709,120
COLUMBUS 41-A,426,77
COLUMBUS 41-B,224,65
COLUMBUS 41-C,420,102
COLUMBUS 41-D,236,51
COLUMBUS 41-E,487,102
COLUMBUS 41-F,118,20
COLUMBUS 41-G,346,90
COLUMBUS 41-H,294,75
COLUMBUS 41-I,284,74
COLUMBUS 42-A,348,121
COLUMBUS 42-B,106,17
COLUMBUS 42-C,254,121
COLUMBUS 42-D,316,60
COLUMBUS 42-E,206,30
COLUMBUS 43-A,298,145
COLUMBUS 43-B,314,182
COLUMBUS 43-C,297,95
COLUMBUS 43-D,318,145
COLUMBUS 43-E,341,101
COLUMBUS 44-A,527,44
COLUMBUS 44-B,305,19
COLUMBUS 44-C,406,30
COLUMBUS 44-D,467,46
COLUMBUS 44-E,250,32
COLUMBUS 44-F,357,93
COLUMBUS 44-G,394,22
COLUMBUS 44-H,252,18
COLUMBUS 45-A,366,97
COLUMBUS 45-B,296,76
COLUMBUS 45-C,507,71
COLUMBUS 45-D,320,106
COLUMBUS 45-E,342,76
COLUMBUS 45-F,327,98
COLUMBUS 45-G,275,127
COLUMBUS 45-H,520,29
COLUMBUS 45-I,385,134
COLUMBUS 45-J,404,124
COLUMBUS 45-K,592,193
COLUMBUS 45-L,339,55
COLUMBUS 45-M,323,33
COLUMBUS 45-N,227,37
COLUMBUS 46-A,569,123
COLUMBUS 46-B,372,92
COLUMBUS 46-C,325,150
COLUMBUS 46-D,436,224
COLUMBUS 46-E,360,179
COLUMBUS 46-F,476,302
COLUMBUS 46-G,589,245
COLUMBUS 46-H,339,118
COLUMBUS 46-I,253,144
COLUMBUS 46-J,480,133
COLUMBUS 46-K,322,95
COLUMBUS 46-L,260,115
COLUMBUS 47-A,447,88
COLUMBUS 47-B,395,35
COLUMBUS 47-C,336,90
COLUMBUS 47-D,461,94
COLUMBUS 47-E,351,116
COLUMBUS 47-F,232,37
COLUMBUS 48-A,445,79
COLUMBUS 48-B,289,23
COLUMBUS 48-C,505,54
COLUMBUS 48-D,476,41
COLUMBUS 48-E,484,39
COLUMBUS 49-A,224,160
COLUMBUS 49-B,237,212
COLUMBUS 49-C,272,51
COLUMBUS 49-D,201,294
COLUMBUS 49-E,160,117
COLUMBUS 49-F,341,186
COLUMBUS 49-G,104,99
COLUMBUS 49-H,189,199
COLUMBUS 50-A,362,24
COLUMBUS 50-B,376,29
COLUMBUS 50-C,399,121
COLUMBUS 50-D,310,130
COLUMBUS 50-E,260,93
COLUMBUS 51-A,473,38
COLUMBUS 51-B,372,71
COLUMBUS 51-C,443,51
COLUMBUS 51-D,277,25
COLUMBUS 52-A,418,170
COLUMBUS 52-B,459,156
COLUMBUS 52-C,611,200
COLUMBUS 52-D,334,53
COLUMBUS 52-E,325,42
COLUMBUS 52-F,408,88
COLUMBUS 52-G,297,47
COLUMBUS 53-A,518,324
COLUMBUS 53-B,221,214
COLUMBUS 53-C,312,204
COLUMBUS 53-D,492,128
COLUMBUS 53-E,436,155
COLUMBUS 53-F,267,48
COLUMBUS 53-G,436,104
COLUMBUS 53-H,206,39
COLUMBUS 54-A,502,100
COLUMBUS 54-B,383,117
COLUMBUS 54-C,325,109
COLUMBUS 54-D,383,124
COLUMBUS 54-E,386,98
COLUMBUS 54-F,391,101
COLUMBUS 55-A,406,64
COLUMBUS 55-B,574,43
COLUMBUS 55-C,615,53
COLUMBUS 55-D,458,69
COLUMBUS 56-A,449,38
COLUMBUS 56-B,258,23
COLUMBUS 56-C,420,40
COLUMBUS 56-D,587,8
COLUMBUS 56-E,480,22
COLUMBUS 57-A,222,77
COLUMBUS 57-B,244,134
COLUMBUS 57-C,295,132
COLUMBUS 57-D,519,340
COLUMBUS 57-E,339,157
COLUMBUS 57-F,210,170
COLUMBUS 57-G,142,121
COLUMBUS 58-A,306,156
COLUMBUS 58-B,410,296
COLUMBUS 58-C,221,232
COLUMBUS 58-D,203,156
COLUMBUS 58-E,269,239
COLUMBUS 58-F,249,189
COLUMBUS 58-G,303,179
COLUMBUS 58-H,276,229
COLUMBUS 58-I,154,174
COLUMBUS 58-J,343,222
COLUMBUS 58-K,177,102
COLUMBUS 59-A,357,209
COLUMBUS 59-B,446,275
COLUMBUS 59-C,501,236
COLUMBUS 59-D,491,131
COLUMBUS 59-E,395,147
COLUMBUS 59-F,236,110
COLUMBUS 60-A,424,196
COLUMBUS 60-B,459,251
COLUMBUS 60-C,526,409
COLUMBUS 60-D,385,297
COLUMBUS 60-E,356,168
COLUMBUS 60-F,333,359
COLUMBUS 60-G,532,327
COLUMBUS 61-A,292,112
COLUMBUS 61-B,516,87
COLUMBUS 61-C,449,92
COLUMBUS 61-D,441,219
COLUMBUS 62-A,368,199
COLUMBUS 62-B,583,154
COLUMBUS 62-C,513,208
COLUMBUS 62-D,533,191
COLUMBUS 62-E,311,192
COLUMBUS 63-A,447,376
COLUMBUS 63-B,461,219
COLUMBUS 63-C,615,419
COLUMBUS 63-D,493,216
COLUMBUS 63-E,362,242
COLUMBUS 63-F,388,165
COLUMBUS 63-G,279,225
COLUMBUS 63-H,287,124
COLUMBUS 64-A,342,260
COLUMBUS 64-B,404,213
COLUMBUS 64-C,411,170
COLUMBUS 64-D,301,102
COLUMBUS 64-E,423,286
COLUMBUS 64-F,513,310
COLUMBUS 64-G,300,111
COLUMBUS 64-H,280,137
COLUMBUS 65-A,333,213
COLUMBUS 65-B,303,220
COLUMBUS 65-C,392,251
COLUMBUS 65-D,455,232
COLUMBUS 65-E,399,250
COLUMBUS 65-F,340,186
COLUMBUS 65-G,407,276
COLUMBUS 66-A,417,117
COLUMBUS 66-B,337,77
COLUMBUS 66-C,531,237
COLUMBUS 66-D,362,176
COLUMBUS 66-E,340,166
COLUMBUS 66-F,473,243
COLUMBUS 67-A,257,260
COLUMBUS 67-B,226,189
COLUMBUS 67-C,279,162
COLUMBUS 67-D,155,69
COLUMBUS 67-E,224,138
COLUMBUS 67-F,268,239
COLUMBUS 67-G,368,225
COLUMBUS 67-H,169,180
COLUMBUS 67-I,238,159
COLUMBUS 68-A,305,67
COLUMBUS 68-B,290,37
COLUMBUS 68-C,329,41
COLUMBUS 68-D,324,47
COLUMBUS 69-A,421,255
COLUMBUS 69-B,247,155
COLUMBUS 69-C,424,269
COLUMBUS 69-D,411,340
COLUMBUS 69-E,287,249
COLUMBUS 69-F,310,243
COLUMBUS 69-G,284,200
COLUMBUS 69-H,154,75
COLUMBUS 69-I,337,339
COLUMBUS 69-J,292,244
COLUMBUS 69-K,154,118
COLUMBUS 69-L,415,385
COLUMBUS 69-M,296,192
COLUMBUS 69-N,285,139
COLUMBUS 70-A,348,231
COLUMBUS 70-B,383,265
COLUMBUS 70-C,439,205
COLUMBUS 70-D,442,284
COLUMBUS 70-E,373,140
COLUMBUS 71-A,595,324
COLUMBUS 71-B,297,200
COLUMBUS 71-C,486,287
COLUMBUS 71-D,349,145
COLUMBUS 71-E,398,257
COLUMBUS 71-F,147,60
COLUMBUS 72-A,366,275
COLUMBUS 72-B,354,283
COLUMBUS 72-C,334,301
COLUMBUS 72-D,361,260
COLUMBUS 72-E,477,360
COLUMBUS 72-F,503,415
COLUMBUS 72-G,274,214
COLUMBUS 73-A,256,178
COLUMBUS 73-B,277,132
COLUMBUS 73-C,425,278
COLUMBUS 73-D,457,266
COLUMBUS 73-E,289,171
COLUMBUS 73-F,482,248
COLUMBUS 73-G,310,184
COLUMBUS 73-H,335,184
COLUMBUS 73-I,369,317
COLUMBUS 73-J,548,324
COLUMBUS 73-K,283,151
COLUMBUS 73-L,295,199
COLUMBUS 74-A,369,255
COLUMBUS 74-B,273,234
COLUMBUS 74-C,373,299
COLUMBUS 74-D,285,143
COLUMBUS 74-E,406,225
COLUMBUS 74-F,410,192
COLUMBUS 74-G,475,302
COLUMBUS 74-H,219,102
COLUMBUS 75-A,403,345
COLUMBUS 75-B,430,358
COLUMBUS 75-C,258,168
COLUMBUS 75-D,374,218
COLUMBUS 75-E,512,404
COLUMBUS 75-F,362,219
COLUMBUS 75-G,384,172
COLUMBUS 75-H,228,177
COLUMBUS 76-A,259,204
COLUMBUS 76-B,214,145
COLUMBUS 76-C,363,268
COLUMBUS 76-D,384,289
COLUMBUS 76-E,282,107
COLUMBUS 76-F,405,300
COLUMBUS 76-G,245,165
COLUMBUS 77-A,345,206
COLUMBUS 77-B,303,185
COLUMBUS 77-C,279,151
COLUMBUS 77-D,568,415
COLUMBUS 77-E,464,361
COLUMBUS 77-F,495,297
COLUMBUS 78-A,215,123
COLUMBUS 78-B,241,246
COLUMBUS 78-C,332,137
COLUMBUS 78-D,432,282
COLUMBUS 78-E,320,152
COLUMBUS 78-F,233,271
COLUMBUS 78-G,385,289
COLUMBUS 78-H,287,258
COLUMBUS 78-I,292,129
COLUMBUS 79-A,329,95
COLUMBUS 79-B,382,272
COLUMBUS 79-C,313,358
COLUMBUS 79-D,428,398
COLUMBUS 80-A,409,256
COLUMBUS 80-B,487,253
COLUMBUS 80-C,209,98
COLUMBUS 80-D,376,291
COLUMBUS 80-E,285,191
COLUMBUS 80-F,586,317
COLUMBUS 81-A,601,118
COLUMBUS 81-B,394,142
COLUMBUS 81-C,449,170
COLUMBUS 81-D,431,159
COLUMBUS 81-E,559,64
COLUMBUS 82-A,360,197
COLUMBUS 82-B,399,226
COLUMBUS 82-C,168,162
COLUMBUS 82-D,422,291
COLUMBUS 82-E,511,454
COLUMBUS 82-F,523,343
COLUMBUS 82-G,393,278
COLUMBUS 82-H,395,312
COLUMBUS 82-I,547,489
COLUMBUS 82-J,370,252
COLUMBUS 82-K,357,241
COLUMBUS 82-L,502,402
COLUMBUS 82-M,212,166
COLUMBUS 83-A,481,61
COLUMBUS 83-B,391,149
COLUMBUS 83-C,866,57
COLUMBUS 83-D,408,46
COLUMBUS 83-E,772,49
COLUMBUS 83-F,849,21
COLUMBUS 83-G,492,34
COLUMBUS 83-H,380,36
COLUMBUS 84-A,672,333
COLUMBUS 84-B,585,266
COLUMBUS 84-C,491,120
COLUMBUS 84-D,513,117
COLUMBUS 84-E,580,303
COLUMBUS 84-F,415,329
COLUMBUS 84-G,315,93
COLUMBUS 84-H,246,100
COLUMBUS 85-A,520,120
COLUMBUS 85-B,380,200
COLUMBUS 85-C,360,260
