PRECINCT,D_votes,R_votes
COLUMBUS 40-C,268,76
COLUMBUS 41-A,23,11
COLUMBUS 41-B,1,2
COLUMBUS 41-C,6,7
COLUMBUS 41-D,8,7
COLUMBUS 41-E,16,9
COLUMBUS 41-F,4,1
COLUMBUS 41-G,5,3
COLUMBUS 41-H,10,11
COLUMBUS 41-I,4,5
COLUMBUS 42-A,82,86
COLUMBUS 42-B,2,12
COLUMBUS 42-C,41,61
COLUMBUS 42-D,29,78
COLUMBUS 42-E,13,54
COLUMBUS 43-A,87,85
COLUMBUS 43-B,144,83
COLUMBUS 43-C,63,90
COLUMBUS 43-D,122,94
COLUMBUS 43-E,60,84
COLUMBUS 44-A,30,166
COLUMBUS 44-B,22,70
COLUMBUS 44-C,20,129
COLUMBUS 44-D,19,124
COLUMBUS 44-E,3,19
COLUMBUS 44-F,69,135
COLUMBUS 44-G,9,75
COLUMBUS 44-H,5,47
COLUMBUS 45-A,39,122
COLUMBUS 45-B,31,112
COLUMBUS 45-C,33,174
COLUMBUS 45-D,45,115
COLUMBUS 45-E,30,89
COLUMBUS 45-F,44,81
COLUMBUS 45-G,42,83
COLUMBUS 45-H,17,154
COLUMBUS 45-I,37,86
COLUMBUS 45-J,40,123
COLUMBUS 45-K,51,122
COLUMBUS 45-L,12,96
COLUMBUS 45-M,23,124
COLUMBUS 45-N,9,51
COLUMBUS 45-O,34,95
COLUMBUS 46-A,66,134
COLUMBUS 46-B,38,85
COLUMBUS 46-C,59,111
COLUMBUS 46-D,71,112
COLUMBUS 46-E,51,105
COLUMBUS 46-F,84,104
COLUMBUS 46-G,56,104
COLUMBUS 46-H,38,112
COLUMBUS 46-I,33,65
COLUMBUS 46-J,57,132
COLUMBUS 46-K,35,64
COLUMBUS 46-L,24,69
COLUMBUS 46-M,26,76
COLUMBUS 47-A,47,169
COLUMBUS 47-B,23,106
COLUMBUS 47-C,23,115
COLUMBUS 47-D,124,120
COLUMBUS 47-E,105,91
COLUMBUS 47-F,17,55
COLUMBUS 48-A,30,100
COLUMBUS 48-B,12,59
COLUMBUS 48-C,31,202
COLUMBUS 48-D,31,177
COLUMBUS 48-E,28,172
COLUMBUS 49-A,55,75
COLUMBUS 49-B,67,69
COLUMBUS 49-C,25,71
COLUMBUS 49-D,85,61
COLUMBUS 49-E,24,23
COLUMBUS 49-F,69,108
COLUMBUS 49-G,16,40
COLUMBUS 49-H,60,98
COLUMBUS 50-A,21,146
COLUMBUS 50-B,14,125
COLUMBUS 50-C,53,125
COLUMBUS 50-D,44,95
COLUMBUS 50-E,37,105
COLUMBUS 51-A,49,144
COLUMBUS 51-B,38,159
COLUMBUS 51-C,35,154
COLUMBUS 51-D,18,79
COLUMBUS 52-A,102,124
COLUMBUS 52-B,96,146
COLUMBUS 52-C,106,120
COLUMBUS 52-D,32,101
COLUMBUS 52-E,13,41
COLUMBUS 52-F,53,143
COLUMBUS 52-G,31,52
COLUMBUS 52-H,21,36
COLUMBUS 53-A,134,164
COLUMBUS 53-B,78,86
COLUMBUS 53-C,99,121
COLUMBUS 53-D,61,122
COLUMBUS 53-E,77,126
COLUMBUS 53-F,20,39
COLUMBUS 53-G,46,62
COLUMBUS 53-H,15,30
COLUMBUS 54-A,43,97
COLUMBUS 54-B,54,108
COLUMBUS 54-C,49,50
COLUMBUS 54-D,76,123
COLUMBUS 54-E,52,98
COLUMBUS 54-F,46,118
COLUMBUS 55-A,134,87
COLUMBUS 55-B,227,86
COLUMBUS 55-C,216,177
COLUMBUS 55-D,226,103
COLUMBUS 56-A,23,59
COLUMBUS 56-B,10,59
COLUMBUS 56-C,16,112
COLUMBUS 56-D,15,45
COLUMBUS 56-E,18,155
COLUMBUS 57-A,81,72
COLUMBUS 57-B,90,75
COLUMBUS 57-C,67,76
COLUMBUS 57-D,212,134
COLUMBUS 57-E,99,78
COLUMBUS 57-F,72,52
COLUMBUS 57-G,48,36
COLUMBUS 58-A,56,98
COLUMBUS 58-B,87,108
COLUMBUS 58-C,84,56
COLUMBUS 58-D,61,68
COLUMBUS 58-E,80,71
COLUMBUS 58-F,86,66
COLUMBUS 58-G,50,64
COLUMBUS 58-H,75,76
COLUMBUS 58-I,58,47
COLUMBUS 58-J,108,111
COLUMBUS 58-K,34,51
COLUMBUS 59-A,156,94
COLUMBUS 59-B,158,111
COLUMBUS 59-C,196,95
COLUMBUS 59-D,132,92
COLUMBUS 59-E,156,97
COLUMBUS 59-F,79,38
COLUMBUS 60-A,113,109
COLUMBUS 60-B,132,98
COLUMBUS 60-C,158,141
COLUMBUS 60-D,155,87
COLUMBUS 60-E,90,91
COLUMBUS 60-F,193,110
COLUMBUS 60-G,133,128
COLUMBUS 61-A,47,68
COLUMBUS 61-B,26,87
COLUMBUS 61-C,31,56
COLUMBUS 61-D,101,132
COLUMBUS 62-A,133,133
COLUMBUS 62-B,69,162
COLUMBUS 62-C,126,191
COLUMBUS 62-D,124,155
COLUMBUS 62-E,108,118
COLUMBUS 63-A,184,160
COLUMBUS 63-B,124,104
COLUMBUS 63-C,228,182
COLUMBUS 63-D,116,108
COLUMBUS 63-E,91,78
COLUMBUS 63-F,123,72
COLUMBUS 63-G,111,74
COLUMBUS 63-H,73,66
COLUMBUS 64-A,108,132
COLUMBUS 64-B,109,115
COLUMBUS 64-C,89,79
COLUMBUS 64-D,44,56
COLUMBUS 64-E,119,110
COLUMBUS 64-F,175,122
COLUMBUS 64-G,72,66
COLUMBUS 64-H,47,51
COLUMBUS 65-A,103,95
COLUMBUS 65-B,97,80
COLUMBUS 65-C,92,109
COLUMBUS 65-D,107,108
COLUMBUS 65-E,115,132
COLUMBUS 65-F,87,93
COLUMBUS 65-G,119,148
COLUMBUS 66-A,44,105
COLUMBUS 66-B,26,42
COLUMBUS 66-C,121,175
COLUMBUS 66-D,89,120
COLUMBUS 66-E,81,114
COLUMBUS 66-F,111,138
COLUMBUS 67-A,69,85
