PRECINCT,D_votes,R_votes
BEXLEY 01-A,465,75
BEXLEY 01-B,908,138
BEXLEY 02-A,673,97
BEXLEY 02-B,800,122
BEXLEY 03-A,643,106
BEXLEY 03-B,485,87
BEXLEY 03-C,470,66
BEXLEY 04-A,263,41
BEXLEY 04-B,505,80
BEXLEY 04-C,446,84
BLENDON-A,265,99
BLENDON-B,155,103
BLENDON-C,331,146
BLENDON-D,600,259
BLENDON-E,358,150
BLENDON-F,358,163
BROWN-A,435,359
BROWN-B,246,189
CANAL WINCHESTER-A,471,298
CANAL WINCHESTER-B,602,389
CANAL WINCHESTER-C,238,180
CANAL WINCHESTER-D,102,73
CANAL WINCHESTER-E,261,217
CANAL WINCHESTER-F,376,271
CLINTON-A,282,104
CLINTON-B,191,80
CLINTON-C,233,46
COLUMBUS 01-A,560,82
COLUMBUS 01-B,473,57
COLUMBUS 01-C,679,98
COLUMBUS 02-A,407,38
COLUMBUS 02-B,603,80
COLUMBUS 02-C,734,85
COLUMBUS 02-D,612,69
COLUMBUS 02-E,551,65
COLUMBUS 02-F,579,53
COLUMBUS 03-A,351,24
COLUMBUS 03-B,320,46
COLUMBUS 03-C,519,57
COLUMBUS 03-D,292,53
COLUMBUS 04-A,324,30
COLUMBUS 04-B,353,32
COLUMBUS 04-C,303,27
COLUMBUS 04-D,335,29
COLUMBUS 05-A,334,44
COLUMBUS 05-B,279,29
COLUMBUS 05-C,201,28
COLUMBUS 05-D,214,27
COLUMBUS 06-A,250,48
COLUMBUS 06-B,376,59
COLUMBUS 06-C,243,58
COLUMBUS 06-D,420,46
COLUMBUS 06-E,304,30
COLUMBUS 06-F,304,37
COLUMBUS 07-A,229,29
COLUMBUS 07-B,386,39
COLUMBUS 07-C,268,36
COLUMBUS 07-D,514,37
COLUMBUS 07-E,69,71
COLUMBUS 08-A,384,52
COLUMBUS 08-B,282,42
COLUMBUS 08-C,598,73
COLUMBUS 08-D,688,67
COLUMBUS 08-E,362,62
COLUMBUS 08-F,380,33
COLUMBUS 08-G,366,42
COLUMBUS 08-H,398,40
COLUMBUS 09-A,394,73
COLUMBUS 09-B,436,89
COLUMBUS 10-A,222,40
COLUMBUS 10-B,92,55
COLUMBUS 10-C,264,86
COLUMBUS 10-D,473,100
COLUMBUS 10-E,571,128
COLUMBUS 11-A,93,59
COLUMBUS 11-B,185,106
COLUMBUS 11-C,358,149
COLUMBUS 11-D,291,124
COLUMBUS 11-E,273,163
COLUMBUS 12-A,417,26
