PRECINCT,D_votes,R_votes
COLUMBUS 45-F,323,104
COLUMBUS 45-G,299,110
COLUMBUS 45-H,532,22
COLUMBUS 45-I,397,124
COLUMBUS 45-J,420,120
COLUMBUS 45-K,605,189
COLUMBUS 45-L,345,52
COLUMBUS 45-M,328,33
COLUMBUS 45-N,230,39
COLUMBUS 46-A,588,109
COLUMBUS 46-B,389,86
COLUMBUS 46-C,331,151
COLUMBUS 46-D,449,222
COLUMBUS 46-E,389,159
COLUMBUS 46-F,503,287
COLUMBUS 46-G,615,227
COLUMBUS 46-H,354,104
COLUMBUS 46-I,268,137
COLUMBUS 46-J,502,118
COLUMBUS 46-K,349,91
COLUMBUS 46-L,268,112
COLUMBUS 47-A,470,83
COLUMBUS 47-B,416,28
COLUMBUS 47-C,367,70
COLUMBUS 47-D,481,81
COLUMBUS 47-E,384,99
COLUMBUS 47-F,244,38
COLUMBUS 48-A,470,60
COLUMBUS 48-B,289,24
COLUMBUS 48-C,516,42
COLUMBUS 48-D,483,44
COLUMBUS 48-E,498,32
COLUMBUS 49-A,214,171
COLUMBUS 49-B,2,0
COLUMBUS 49-C,280,49
COLUMBUS 49-E,162,117
COLUMBUS 49-F,349,181
COLUMBUS 49-G,38,18
COLUMBUS 49-H,198,202
COLUMBUS 50-A,368,26
COLUMBUS 50-B,388,22
COLUMBUS 50-C,408,118
COLUMBUS 50-D,317,126
COLUMBUS 50-E,268,96
COLUMBUS 51-A,487,32
COLUMBUS 51-B,396,62
COLUMBUS 51-C,453,48
COLUMBUS 51-D,289,21
COLUMBUS 52-A,436,167
COLUMBUS 52-B,477,145
COLUMBUS 52-C,646,175
COLUMBUS 52-D,355,43
COLUMBUS 52-E,330,45
COLUMBUS 52-F,423,80
COLUMBUS 52-G,300,43
COLUMBUS 53-A,546,306
COLUMBUS 53-B,237,204
COLUMBUS 53-C,324,210
COLUMBUS 53-D,490,132
COLUMBUS 53-E,455,140
COLUMBUS 53-F,275,49
COLUMBUS 53-G,444,95
COLUMBUS 53-H,222,33
COLUMBUS 54-A,513,96
COLUMBUS 54-B,395,109
COLUMBUS 54-C,335,106
COLUMBUS 54-D,395,118
