PRECINCT,D_votes,R_votes
BLENDON-A,3,6
BLENDON-B,113,151
BLENDON-D,48,70
BROWN-B,0,1
COLUMBUS 16-A,610,55
COLUMBUS 16-B,433,81
COLUMBUS 16-D,83,9
COLUMBUS 16-E,452,62
COLUMBUS 18-A,703,70
COLUMBUS 18-B,619,84
COLUMBUS 18-C,783,76
COLUMBUS 18-D,482,54
COLUMBUS 18-E,650,56
COLUMBUS 18-F,638,60
COLUMBUS 19-A,504,135
COLUMBUS 19-B,613,153
COLUMBUS 19-C,606,169
COLUMBUS 19-D,669,186
COLUMBUS 19-E,514,141
COLUMBUS 19-F,544,111
COLUMBUS 19-G,530,149
COLUMBUS 19-H,789,103
COLUMBUS 20-A,959,236
COLUMBUS 20-B,421,38
COLUMBUS 20-C,699,91
COLUMBUS 21-A,517,209
COLUMBUS 21-B,760,240
COLUMBUS 21-C,506,168
COLUMBUS 21-D,401,70
COLUMBUS 21-E,641,231
COLUMBUS 21-F,551,181
COLUMBUS 22-A,585,214
COLUMBUS 22-B,505,127
COLUMBUS 22-C,629,162
COLUMBUS 22-G,582,151
COLUMBUS 30-B,49,30
COLUMBUS 30-C,253,150
COLUMBUS 41-A,413,68
COLUMBUS 41-C,411,103
COLUMBUS 41-E,113,26
COLUMBUS 59-C,502,235
COLUMBUS 59-F,243,108
COLUMBUS 60-A,431,185
COLUMBUS 60-B,484,240
COLUMBUS 60-C,478,337
COLUMBUS 60-D,72,64
COLUMBUS 60-F,362,335
COLUMBUS 60-G,367,210
COLUMBUS 63-A,197,196
COLUMBUS 64-B,28,16
COLUMBUS 65-A,355,195
COLUMBUS 65-B,305,214
COLUMBUS 65-C,400,244
COLUMBUS 65-D,470,225
COLUMBUS 65-E,412,236
COLUMBUS 65-F,360,176
COLUMBUS 65-G,420,266
COLUMBUS 69-A,438,238
COLUMBUS 69-F,315,237
COLUMBUS 69-H,159,78
COLUMBUS 69-I,333,296
COLUMBUS 69-K,159,110
COLUMBUS 69-L,434,370
COLUMBUS 69-M,314,182
COLUMBUS 70-D,456,271
COLUMBUS 70-E,164,96
COLUMBUS 71-A,624,301
COLUMBUS 71-B,318,181
COLUMBUS 72-A,379,255
COLUMBUS 72-B,365,269
COLUMBUS 72-C,338,287
COLUMBUS 72-D,389,232
COLUMBUS 72-E,497,335
COLUMBUS 72-F,510,403
COLUMBUS 72-G,273,216
COLUMBUS 73-J,9,4
COLUMBUS 74-A,377,248
COLUMBUS 74-B,284,217
COLUMBUS 74-C,382,285
COLUMBUS 74-D,294,139
COLUMBUS 74-E,415,218
COLUMBUS 74-F,417,177
COLUMBUS 74-G,485,276
COLUMBUS 74-H,224,97
COLUMBUS 82-D,60,34
COLUMBUS 82-E,539,417
COLUMBUS 82-F,546,334
COLUMBUS 82-G,406,261
COLUMBUS 82-H,411,305
COLUMBUS 82-I,564,485
COLUMBUS 82-J,387,247
COLUMBUS 82-K,372,226
COLUMBUS 82-L,531,377
COLUMBUS 82-M,226,150
DELAWARE COUNTY,41782,52022
DUBLIN 01-A,634,488
DUBLIN 01-B,206,241
DUBLIN 01-C,465,377
DUBLIN 01-D,308,313
DUBLIN 01-E,367,483
DUBLIN 01-F,511,362
DUBLIN 01-G,389,334
DUBLIN 01-H,252,259
DUBLIN 02-A,298,273
DUBLIN 02-B,215,134
DUBLIN 02-C,243,171
DUBLIN 02-D,367,300
DUBLIN 02-E,349,300
DUBLIN 02-F,251,231
DUBLIN 02-G,346,334
DUBLIN 02-H,224,165
DUBLIN 02-I,283,311
DUBLIN 02-J,404,444
DUBLIN 03-A,481,571
DUBLIN 03-B,535,489
DUBLIN 03-C,421,436
DUBLIN 04-A,421,347
DUBLIN 04-B,268,235
DUBLIN 04-C,309,209
DUBLIN 04-D,422,361
DUBLIN 04-E,307,297
DUBLIN 04-F,518,422
GAHANNA 01-A,320,246
GAHANNA 01-G,60,39
GAHANNA 02-A,350,249
GAHANNA 02-D,221,155
GAHANNA 02-E,163,131
GAHANNA 02-F,150,139
GAHANNA 02-I,13,16
GAHANNA 03-B,253,247
GAHANNA 03-E,351,312
GAHANNA 04-A,50,43
GAHANNA 04-B,267,162
GAHANNA 04-D,381,323
GAHANNA 04-F,315,215
GAHANNA 04-G,420,294
HILLIARD 02-E,446,148
HILLIARD 04-A,19,9
JEFFERSON-A,292,390
JEFFERSON-B,239,372
JEFFERSON-C,358,429
LICKING COUNTY,26192,41691
MARION COUNTY,1118,2634
MORROW COUNTY,3736,9185
MUSKINGUM COUNTY,6995,12000
NEW ALBANY-A,359,303
NEW ALBANY-B,385,421
NEW ALBANY-C,373,437
NEW ALBANY-E,263,244
NEW ALBANY-F,449,362
NEW ALBANY-G,280,214
PERRY-A,345,238
PERRY-B,370,285
PERRY-C,39,31
PERRY-D,467,406
PLAIN-A,95,129
PLAIN-B,278,472
RICHLAND COUNTY,9742,15109
RIVERLEA-A,286,98
SHARON-A,274,222
SHARON-B,387,171
WASHINGTON-A,153,231
WESTERVILLE 01-A,344,236
WESTERVILLE 01-B,380,335
WESTERVILLE 01-C,291,255
WESTERVILLE 01-D,241,178
WESTERVILLE 01-E,351,267
WESTERVILLE 02-A,383,321
WESTERVILLE 02-B,472,423
WESTERVILLE 02-C,234,197
WESTERVILLE 02-D,249,234
WESTERVILLE 02-E,357,308
WESTERVILLE 02-F,317,312
WESTERVILLE 02-G,271,220
WESTERVILLE 03-A,249,233
WESTERVILLE 03-B,225,189
WESTERVILLE 03-C,166,135
WESTERVILLE 03-E,272,226
WESTERVILLE 04-A,452,347
WESTERVILLE 04-B,579,417
WESTERVILLE 04-C,342,320
WESTERVILLE 05-A,387,185
WESTERVILLE 05-B,163,88
WESTERVILLE 05-C,345,277
WESTERVILLE 05-D,293,253
WESTERVILLE 05-E,333,291
WORTHINGTON 01-A,484,236
WORTHINGTON 01-B,442,215
WORTHINGTON 01-C,432,296
WORTHINGTON 01-D,215,161
WORTHINGTON 02-A,551,207
WORTHINGTON 02-B,510,157
WORTHINGTON 02-C,528,150
WORTHINGTON 03-A,813,370
WORTHINGTON 03-B,483,233
WORTHINGTON 03-C,297,164
WORTHINGTON 04-A,394,168
WORTHINGTON 04-B,433,230
WORTHINGTON 04-C,293,175
WORTHINGTON 04-D,189,144
