PRECINCT,D_votes,R_votes
ATHENS COUNTY,13286,7147
BROWN-A,268,574
BROWN-B,130,296
CANAL WINCHESTER-A,314,499
CANAL WINCHESTER-B,328,504
CANAL WINCHESTER-C,165,255
CANAL WINCHESTER-D,59,100
CANAL WINCHESTER-E,181,318
CANAL WINCHESTER-F,184,351
CLINTON COUNTY,3421,11141
CLINTON-C,10,4
COLUMBUS 01-B,2,0
COLUMBUS 02-B,565,151
COLUMBUS 02-C,656,179
COLUMBUS 02-D,632,183
COLUMBUS 02-F,517,151
COLUMBUS 08-C,626,193
COLUMBUS 08-D,565,174
COLUMBUS 09-A,2,0
COLUMBUS 09-B,0,3
COLUMBUS 10-A,9,2
COLUMBUS 10-D,339,168
COLUMBUS 10-E,24,31
COLUMBUS 14-A,617,262
COLUMBUS 14-B,551,126
COLUMBUS 14-C,561,123
COLUMBUS 14-D,405,73
COLUMBUS 14-E,236,114
COLUMBUS 14-F,582,156
COLUMBUS 14-G,388,79
COLUMBUS 15-B,389,208
COLUMBUS 29-C,127,186
COLUMBUS 29-D,165,235
COLUMBUS 33-A,293,92
COLUMBUS 33-B,7,1
COLUMBUS 33-C,152,36
COLUMBUS 33-D,520,177
COLUMBUS 33-E,328,84
COLUMBUS 33-F,64,26
COLUMBUS 33-G,477,202
COLUMBUS 33-H,250,56
COLUMBUS 33-I,310,119
COLUMBUS 37-B,1,1
COLUMBUS 37-C,3,1
COLUMBUS 37-D,9,11
COLUMBUS 37-E,198,287
COLUMBUS 40-C,119,28
COLUMBUS 49-A,11,0
COLUMBUS 49-B,200,246
COLUMBUS 49-D,167,334
COLUMBUS 49-E,4,3
COLUMBUS 49-G,56,86
COLUMBUS 50-C,3,5
COLUMBUS 58-A,4,6
COLUMBUS 58-C,190,268
COLUMBUS 58-H,217,285
COLUMBUS 58-J,62,42
COLUMBUS 59-A,343,233
COLUMBUS 59-B,395,327
COLUMBUS 59-D,483,144
COLUMBUS 59-E,379,168
COLUMBUS 60-C,68,46
COLUMBUS 60-D,296,235
COLUMBUS 60-E,320,195
COLUMBUS 60-G,176,107
COLUMBUS 63-A,242,185
COLUMBUS 63-B,431,244
