PRECINCT,D_votes,R_votes
BEXLEY 01-A,378,146
BEXLEY 01-B,662,406
BEXLEY 02-A,527,262
BEXLEY 02-B,639,296
BEXLEY 03-A,531,201
BEXLEY 03-B,434,151
BEXLEY 03-C,366,167
BEXLEY 04-A,228,115
BEXLEY 04-B,390,216
BEXLEY 04-C,356,155
BLENDON-A,204,172
BLENDON-B,112,159
BLENDON-C,246,211
BLENDON-D,412,398
BLENDON-E,234,209
BLENDON-F,254,245
BROWN-A,252,555
BROWN-B,145,276
CANAL WINCHESTER-A,295,466
CANAL WINCHESTER-B,346,612
CANAL WINCHESTER-C,150,247
CANAL WINCHESTER-D,60,98
CANAL WINCHESTER-E,162,298
CANAL WINCHESTER-F,246,419
CLINTON-A,211,154
CLINTON-B,157,135
CLINTON-C,212,92
COLS 01-A,482,152
COLS 01-B,357,132
COLS 01-C,583,182
COLS 02-A,330,85
COLS 02-B,520,160
COLS 02-C,643,184
COLS 02-D,557,174
COLS 02-E,476,127
COLS 02-F,503,159
COLS 03-A,308,49
COLS 03-B,303,55
COLS 03-C,431,90
COLS 03-D,257,83
COLS 04-A,271,56
COLS 04-B,318,50
COLS 04-C,261,41
COLS 04-D,294,40
COLS 05-A,300,58
COLS 05-B,256,39
COLS 05-C,220,30
COLS 05-D,187,35
COLS 06-A,241,44
COLS 06-B,370,68
COLS 06-C,237,57
COLS 06-D,375,65
COLS 06-E,272,35
COLS 06-F,296,45
COLS 07-A,249,41
COLS 07-B,374,73
COLS 07-C,243,52
COLS 07-D,434,78
COLS 07-E,89,21
COLS 08-A,317,108
COLS 08-B,289,90
COLS 08-C,551,165
COLS 08-D,594,164
COLS 08-E,321,122
COLS 08-F,290,45
COLS 08-G,332,97
COLS 08-H,368,98
COLS 09-A,297,112
COLS 09-B,333,111
COLS 10-A,173,62
COLS 10-B,85,29
COLS 10-C,249,100
COLS 10-D,380,169
COLS 10-E,407,349
COLS 11-A,88,61
COLS 11-B,147,163
COLS 11-C,296,200
COLS 11-D,185,189
COLS 11-E,154,258
COLS 12-A,356,57
COLS 12-B,739,135
COLS 12-C,587,108
COLS 12-D,366,107
COLS 12-E,354,135
COLS 13-A,190,42
COLS 13-B,153,23
COLS 13-C,104,12
COLS 13-D,201,36
COLS 14-A,709,264
COLS 14-B,447,108
COLS 14-C,499,117
COLS 14-D,316,61
COLS 14-E,391,237
COLS 14-F,497,147
COLS 14-G,327,81
COLS 15-A,248,58
COLS 15-B,391,189
COLS 16-A,336,51
COLS 16-B,300,57
COLS 16-C,209,38
COLS 16-D,218,30
COLS 16-E,179,45
COLS 16-F,142,20
COLS 17-A,250,75
COLS 17-B,276,32
COLS 17-C,150,27
COLS 17-D,158,19
COLS 18-A,452,64
COLS 18-B,527,92
COLS 18-C,600,78
COLS 18-D,437,79
COLS 18-E,561,86
COLS 18-F,474,64
COLS 19-A,470,154
COLS 19-B,693,200
COLS 19-C,508,209
COLS 19-D,578,206
COLS 19-E,430,162
COLS 19-F,622,130
COLS 19-G,444,205
COLS 19-H,717,97
COLS 20-A,829,282
COLS 20-B,526,77
COLS 20-C,594,94
COLS 21-A,488,219
COLS 21-B,731,282
COLS 21-C,492,201
COLS 21-D,263,93
COLS 21-E,584,235
COLS 21-F,472,193
COLS 22-A,543,224
COLS 22-B,458,158
COLS 22-C,551,171
COLS 22-D,435,321
COLS 22-E,249,217
COLS 22-F,270,190
COLS 22-G,495,181
COLS 23-A,267,87
COLS 23-B,310,90
COLS 23-C,400,156
COLS 23-D,326,184
COLS 24-A,183,81
COLS 24-B,241,140
COLS 24-C,199,121
COLS 24-D,207,56
COLS 24-E,206,136
COLS 25-A,270,48
COLS 25-B,235,53
COLS 25-C,319,43
COLS 25-D,271,48
COLS 25-E,267,44
COLS 25-F,205,46
COLS 25-G,166,38
COLS 25-H,305,52
COLS 26-A,267,43
COLS 26-B,248,75
COLS 26-C,203,70
COLS 27-A,187,58
COLS 27-B,127,64
COLS 27-C,326,241
COLS 27-D,326,114
COLS 27-E,197,98
COLS 27-F,337,334
COLS 28-A,291,44
COLS 28-B,306,39
COLS 28-C,358,76
COLS 28-D,354,138
COLS 28-E,683,159
COLS 28-F,379,121
COLS 29-A,168,117
COLS 29-B,72,77
COLS 29-C,93,165
COLS 29-D,130,237
COLS 30-A,256,176
COLS 30-B,192,113
COLS 30-C,412,285
COLS 30-D,241,143
COLS 30-E,190,102
COLS 31-A,196,82
COLS 31-B,106,99
COLS 31-C,113,71
COLS 31-D,56,39
COLS 31-E,64,53
COLS 32-A,539,241
COLS 32-B,301,201
COLS 32-C,201,157
COLS 32-D,315,136
COLS 33-A,232,79
COLS 33-B,355,100
COLS 33-C,338,95
COLS 33-D,494,169
COLS 33-E,439,102
COLS 33-F,354,96
COLS 33-G,476,136
COLS 33-H,405,115
COLS 33-I,308,122
COLS 33-J,248,59
COLS 34-A,308,108
COLS 34-B,302,99
COLS 34-C,141,64
COLS 34-D,223,119
COLS 34-E,195,68
COLS 34-F,310,119
COLS 35-A,225,38
COLS 35-B,314,36
COLS 35-C,289,55
COLS 35-D,260,50
COLS 36-A,140,217
COLS 36-B,217,239
COLS 36-C,231,210
COLS 36-D,94,186
COLS 36-E,128,179
COLS 37-A,256,96
COLS 37-B,67,73
COLS 37-C,143,144
COLS 37-D,129,175
COLS 37-E,227,312
COLS 38-A,191,168
COLS 38-B,93,49
COLS 38-C,153,103
COLS 39-A,63,8
COLS 39-B,501,78
COLS 39-C,92,20
COLS 39-D,134,30
COLS 40-A,279,54
COLS 40-B,267,49
COLS 40-C,612,86
COLS 41-A,153,18
COLS 41-B,119,24
COLS 41-C,168,41
COLS 41-D,106,26
COLS 41-E,155,36
COLS 41-F,38,6
COLS 41-G,117,33
COLS 41-H,160,33
COLS 41-I,125,26
COLS 42-A,245,160
COLS 42-B,35,20
COLS 42-C,180,123
COLS 42-D,180,74
